Epoch number, Total Error
0,163.339270215621
1,157.365179409677
2,156.342277006418
3,155.829319295357
4,155.353131002499
5,155.050952630431
6,154.633497849938
7,154.312571238657
8,154.248436155356
9,153.869105415709
10,153.763096284515
11,153.383104787095
12,153.032075111074
13,152.768811378053
14,152.550845704614
15,152.309495093435
16,151.741258318404
17,151.758397792789
18,151.579944372166
19,151.13622448144
20,150.894489279073
21,150.584360807722
22,150.156080556111
23,149.729330340948
24,149.000347403245
25,149.177554790052
26,148.058707165945
27,147.913609029551
28,147.103801035417
29,146.917168163475
30,146.261109965103
31,145.400895604094
32,144.177528958002
33,143.851380337056
34,142.856172273143
35,141.475267761837
36,140.499747253932
37,138.812004288892
38,137.650752203202
39,135.491901310648
40,133.29471678425
41,131.502669425607
42,128.666840649456
43,125.300542852262
44,122.318673836138
45,118.069411805701
46,114.097980276355
47,110.531446493503
48,104.676848335577
49,100.304845585053
50,95.0046887535892
51,89.4502074322187
52,84.1557994601464
53,78.694585086716
54,72.9520892456813
55,68.0750355200264
56,62.1299898911374
57,57.1063375356185
58,52.3292989927391
59,47.3844142218231
60,43.4504638443007
61,39.6724133620094
62,36.6615574527608
63,32.6595343061488
64,29.7163414535817
65,27.5541364154842
66,25.5421426559522
67,23.0562381381303
68,21.7061553959551
69,19.6578979843952
70,18.2522626387167
71,16.7564182589858
72,15.7580054892442
73,14.1901443787557
74,13.1296222838048
75,11.735901053051
76,10.6675636905643
77,10.0755777471154
78,9.03515918371638
79,8.50009575473956
80,8.00851781771365
81,7.44208204334539
82,7.04974635978084
83,6.55962941507501
84,6.24333702240406
85,6.02702674855203
86,5.59080168274216
87,5.51905019424186
88,5.22498453551868
89,5.06084435112301
90,4.95269708996999
91,4.71305828436759
92,4.568236969758
93,4.47418728277942
94,4.25076026504332
95,4.1439982581852
96,4.06044213488369
97,3.9170937779394
98,3.81535355608805
99,3.76640968884342
100,3.640614589941
101,3.60232494148764
102,3.51161635767182
103,3.48037121584624
104,3.35724792514803
105,3.30665089723845
106,3.23600022175842
107,3.22127633060571
108,3.14771596023803
109,3.10360453108013
110,3.08107444494703
111,3.02694996133786
112,2.95510926789281
113,2.94594075920541
114,2.90867974790911
115,2.86295571404349
116,2.82257381141061
117,2.80523125665442
118,2.78832064087944
119,2.73129559785872
120,2.71923138097902
121,2.70475993147998
122,2.68643278350305
123,2.63017266922861
124,2.59121383564248
125,2.57272578155451
126,2.55388925537991
127,2.5325576311797
128,2.54972079658863
129,2.49857519743154
130,2.50163002828971
131,2.43107940101035
132,2.43705971388365
133,2.42473767081973
134,2.37254524122497
135,2.39752578560186
136,2.34330574575919
137,2.34861363260325
138,2.33252105327905
139,2.30996860248028
140,2.3100206312425
141,2.30564315807547
142,2.26833485679452
143,2.24873813659988
144,2.23873941564888
145,2.21056229678235
146,2.2158855271351
147,2.20107807908593
148,2.19150967235237
149,2.18103258975692
150,2.18147816759409
151,2.12972372627534
152,2.15308146931408
153,2.1436627562531
154,2.1387118475311
155,2.11613289523666
156,2.11841983499124
157,2.09855688128992
158,2.12396263317979
159,2.10490732180798
160,2.07442095027812
161,2.07411915357139
162,2.0756350049424
163,2.0535483612168
164,2.05216839498982
165,2.06172759741566
166,2.06400120558389
167,2.02434104261814
168,2.00358859891235
169,2.02079533609654
170,2.00896543361252
171,2.00010992341914
172,1.97115403238483
173,1.97072732471688
174,1.98923671504984
175,1.99060664928917
176,1.98699884729535
177,1.97176386536183
178,1.98985948845208
179,1.9663698425338
180,1.94197287288264
181,1.93624576943585
182,1.93684940075692
183,1.91012297675524
184,1.93768456972616
185,1.93678162605356
186,1.93965839290996
187,1.9027501095388
188,1.87676572238023
189,1.91355133310347
190,1.91253937651297
191,1.86668391695371
192,1.91144413945473
193,1.90786421226123
194,1.90181327670291
195,1.91354546237661
196,1.85786451626866
197,1.88015474015272
198,1.86793382708022
199,1.86490326429254
